00:08.471  render           | Fra: 12 | Rendering 64 / 64 samples
00:08.639  render           | Saved: '/Users/mishi/elite-dent-website/blender/renders/splash_0012.png'
00:08.639  render           | Time: 00:04.17 (Saving: 00:00.10)
00:08.639  render           | Rendering frame 13
00:08.640  render           | Start rendering: Scene, ViewLayer
00:08.640  render           | Engine: EEVEE
00:08.786  render           | Fra: 13 | Rendering 1 / 64 samples
00:09.223  render           | Fra: 13 | Rendering 25 / 64 samples
00:09.639  render           | Fra: 13 | Rendering 50 / 64 samples
00:09.872  render           | Fra: 13 | Rendering 64 / 64 samples
00:10.011  render           | Saved: '/Users/mishi/elite-dent-website/blender/renders/splash_0013.png'
00:10.011  render           | Time: 00:01.37 (Saving: 00:00.10)
00:10.011  render           | Rendering frame 14
00:10.011  render           | Start rendering: Scene, ViewLayer
00:10.011  render           | Engine: EEVEE
00:10.137  render           | Fra: 14 | Rendering 1 / 64 samples
00:10.627  render           | Fra: 14 | Rendering 25 / 64 samples
00:11.034  render           | Fra: 14 | Rendering 50 / 64 samples
00:11.264  render           | Fra: 14 | Rendering 64 / 64 samples
00:11.396  render           | Saved: '/Users/mishi/elite-dent-website/blender/renders/splash_0014.png'
00:11.396  render           | Time: 00:01.38 (Saving: 00:00.10)
00:11.396  render           | Rendering frame 15
00:11.396  render           | Start rendering: Scene, ViewLayer
00:11.396  render           | Engine: EEVEE
00:11.485  render           | Fra: 15 | Rendering 1 / 64 samples
00:11.904  render           | Fra: 15 | Rendering 25 / 64 samples
00:12.301  render           | Fra: 15 | Rendering 50 / 64 samples
00:12.531  render           | Fra: 15 | Rendering 64 / 64 samples
00:12.683  render           | Saved: '/Users/mishi/elite-dent-website/blender/renders/splash_0015.png'
00:12.683  render           | Time: 00:01.28 (Saving: 00:00.10)
00:12.683  render           | Rendering frame 16
00:12.683  render           | Start rendering: Scene, ViewLayer
00:12.683  render           | Engine: EEVEE
00:12.832  render           | Fra: 16 | Rendering 1 / 64 samples
00:13.239  render           | Fra: 16 | Rendering 25 / 64 samples
00:13.652  render           | Fra: 16 | Rendering 50 / 64 samples
00:13.890  render           | Fra: 16 | Rendering 64 / 64 samples
00:14.048  render           | Saved: '/Users/mishi/elite-dent-website/blender/renders/splash_0016.png'
00:14.048  render           | Time: 00:01.36 (Saving: 00:00.12)
00:14.048  render           | Rendering frame 17
00:14.049  render           | Start rendering: Scene, ViewLayer
00:14.049  render           | Engine: EEVEE
00:14.203  render           | Fra: 17 | Rendering 1 / 64 samples
00:14.638  render           | Fra: 17 | Rendering 25 / 64 samples
00:15.063  render           | Fra: 17 | Rendering 50 / 64 samples
00:15.308  render           | Fra: 17 | Rendering 64 / 64 samples
00:15.917  render           | Saved: '/Users/mishi/elite-dent-website/blender/renders/splash_0017.png'
00:15.917  render           | Time: 00:01.86 (Saving: 00:00.56)
00:15.917  render           | Rendering frame 18
00:15.918  render           | Start rendering: Scene, ViewLayer
00:15.918  render           | Engine: EEVEE
00:16.381  render           | Fra: 18 | Rendering 1 / 64 samples
00:16.805  render           | Fra: 18 | Rendering 25 / 64 samples
00:17.230  render           | Fra: 18 | Rendering 50 / 64 samples
00:17.462  render           | Fra: 18 | Rendering 64 / 64 samples
00:17.632  render           | Saved: '/Users/mishi/elite-dent-website/blender/renders/splash_0018.png'
00:17.632  render           | Time: 00:01.71 (Saving: 00:00.11)
00:17.632  render           | Rendering frame 19
